Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import ERT depth 0 to -5 cm,1,2.800,2.800,0.014,1,7.608,3.027,4.000,267.000,97.595,1.776
imageJ cluster import ERT depth -5 to -10 cm,1,528.080,528.080,2.656,1,133.352,54.037,571.000,3.000,177.879,15.600
imageJ cluster import ERT depth -10 to -15 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import ERT depth -15 to -20 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import ERT depth -20 to -25 cm,1,257.320,257.320,1.294,1,141.877,51.088,596.000,4.000,176.634,10.200
imageJ cluster import ERT depth -25 to -30 cm,2,12.360,6.180,0.062,1,10.212,3.938,744.000,19.500,93.943,2.563
imageJ cluster import ERT depth -30 to -35 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import ERT depth -35 to -40 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import ERT depth -40 to -45 cm,9,94.480,10.498,0.475,1,17.470,6.752,152.889,420.778,105.110,2.953
imageJ cluster import ERT depth -45 to -50 cm,7,2167.760,309.680,10.904,1,101.216,30.639,225.571,210.000,124.089,7.710
imageJ cluster import ERT depth -50 to -55 cm,1,8.080,8.080,0.041,1,15.071,6.403,186.000,357.000,141.340,3.006
imageJ cluster import ERT depth -55 to -60 cm,2,4802.080,2401.040,24.156,1,276.786,85.710,242.000,197.000,105.517,44.850
imageJ cluster import ERT depth -60 to -65 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import ERT depth -65 to -70 cm,1,73.120,73.120,0.368,1,40.853,14.206,480.000,13.000,178.386,7.800
imageJ cluster import ERT depth -70 to -75 cm,3,6374.760,2124.920,32.067,1,209.633,70.415,321.000,22.667,60.848,36.336
imageJ cluster import ERT depth -75 to -80 cm,3,6674.480,2224.827,33.574,1,249.990,90.686,239.667,150.667,159.212,39.819
imageJ cluster import ERT depth -80 to -85 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import ERT depth -85 to -90 cm,2,6501.440,3250.720,32.704,1,316.864,107.611,222.000,19.500,69.791,53.371
imageJ cluster import ERT depth -90 to -95 cm,3,6303.920,2101.307,31.710,1,219.038,77.529,175.000,56.000,105.336,35.060
imageJ cluster import ERT depth -95 to -100 cm,5,5810.640,1162.128,29.229,1,148.676,49.907,434.800,40.200,145.644,24.244
imageJ cluster import ERT depth -100 to -105 cm,3,5271.240,1757.080,26.516,1,197.130,69.319,357.333,8.000,95.014,35.112
imageJ cluster import ERT depth -105 to -110 cm,4,4387.680,1096.920,22.071,1,121.794,41.236,470.000,5.500,111.825,21.765
imageJ cluster import ERT depth -110 to -115 cm,3,3992.440,1330.813,20.083,1,141.737,50.450,339.000,177.333,101.630,26.559
imageJ cluster import ERT depth -115 to -120 cm,5,4083.240,816.648,20.540,1,122.342,46.688,445.400,225.200,52.691,18.551
imageJ cluster import ERT depth -120 to -125 cm,5,4786.360,957.272,24.077,1,139.712,51.484,319.000,184.400,83.317,21.146
imageJ cluster import ERT depth -125 to -130 cm,9,5975.640,663.960,30.059,1,102.719,33.365,256.222,279.778,107.580,14.414
imageJ cluster import ERT depth -130 to -135 cm,6,75.800,12.633,0.381,1,15.462,5.696,309.500,191.000,89.369,3.175
imageJ cluster import ERT depth -135 to -140 cm,10,10134.560,1013.456,50.979,1,83.505,25.799,62.500,69.400,115.885,11.572
imageJ cluster import ERT depth -140 to -145 cm,1,11102.760,11102.760,55.850,1,646.054,218.819,9.000,16.000,154.559,98.000
imageJ cluster import ERT depth -145 to -150 cm,1,11412.280,11412.280,57.407,1,644.521,219.517,7.000,14.000,154.299,98.000
imageJ cluster import ERT depth -150 to -155 cm,2,11498.040,5749.020,57.838,1,316.957,112.598,58.000,236.500,84.408,50.475
imageJ cluster import ERT depth -155 to -160 cm,1,10313.600,10313.600,51.880,1,601.443,217.157,1.000,68.000,157.072,98.000
