Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import ERT depth 0 to -5 cm,2,6633.080,3316.540,33.366,0.300,578.555,112.229,255.000,243.500,99.332,49.900
imageJ cluster import ERT depth -5 to -10 cm,1,6579.880,6579.880,33.099,0.042,598.731,223.609,0.000,0.000,153.664,99.200
imageJ cluster import ERT depth -10 to -15 cm,3,6502.840,2167.613,32.711,0.231,409.495,80.799,216.000,329.333,55.295,33.800
imageJ cluster import ERT depth -15 to -20 cm,2,6715.040,3357.520,33.778,0.333,624.928,112.252,314.000,232.000,153.550,49.900
imageJ cluster import ERT depth -20 to -25 cm,11,7411.000,673.727,37.279,0.567,58.546,22.071,505.636,334.545,104.914,9.874
imageJ cluster import ERT depth -25 to -30 cm,5,8720.640,1744.128,43.867,0.497,122.003,45.738,292.200,144.600,77.607,20.318
imageJ cluster import ERT depth -30 to -35 cm,5,9625.040,1925.008,48.416,0.552,230.276,45.553,426.800,208.800,133.778,20.433
imageJ cluster import ERT depth -35 to -40 cm,3,10175.080,3391.693,51.183,0.457,201.541,75.317,376.000,161.333,132.366,33.710
imageJ cluster import ERT depth -40 to -45 cm,19,10827.000,569.842,54.463,0.589,38.269,14.226,650.263,222.105,94.930,6.522
imageJ cluster import ERT depth -45 to -50 cm,7,10691.200,1527.314,53.780,0.549,94.436,35.251,231.000,195.286,125.759,16.164
imageJ cluster import ERT depth -50 to -55 cm,8,9898.880,1237.360,49.794,0.548,174.536,29.202,483.875,95.750,114.670,13.056
imageJ cluster import ERT depth -55 to -60 cm,5,10539.800,2107.960,53.018,0.434,130.108,48.468,443.800,147.400,63.396,22.166
imageJ cluster import ERT depth -60 to -65 cm,5,10761.960,2152.392,54.135,0.393,206.674,49.888,228.000,230.000,71.796,21.277
imageJ cluster import ERT depth -65 to -70 cm,3,10888.840,3629.613,54.774,0.184,357.997,93.905,234.333,255.667,82.254,38.857
imageJ cluster import ERT depth -70 to -75 cm,3,11429.160,3809.720,57.492,0.401,202.513,75.846,560.667,72.000,141.520,33.465
imageJ cluster import ERT depth -75 to -80 cm,1,11831.960,11831.960,59.518,0.038,598.731,223.609,0.000,0.000,153.664,99.200
imageJ cluster import ERT depth -80 to -85 cm,5,11956.880,2391.376,60.146,0.530,216.143,45.475,775.200,5.600,118.609,20.223
imageJ cluster import ERT depth -85 to -90 cm,1,12462.640,12462.640,62.690,0.046,598.731,223.609,0.000,0.000,153.664,99.200
imageJ cluster import ERT depth -90 to -95 cm,2,12873.880,6436.940,64.759,0.342,306.570,115.018,241.500,2.000,164.154,50.425
imageJ cluster import ERT depth -95 to -100 cm,1,13637.240,13637.240,68.599,0.035,598.731,223.609,0.000,0.000,153.664,99.200
imageJ cluster import ERT depth -100 to -105 cm,1,14421.280,14421.280,72.543,0.026,598.731,223.609,0.000,0.000,153.664,99.200
imageJ cluster import ERT depth -105 to -110 cm,1,15430.800,15430.800,77.621,0.029,598.731,223.609,0.000,0.000,153.664,99.200
imageJ cluster import ERT depth -110 to -115 cm,1,15881.160,15881.160,79.886,0.023,598.731,223.609,0.000,0.000,153.664,99.200
imageJ cluster import ERT depth -115 to -120 cm,1,15786.520,15786.520,79.410,0.034,598.731,223.609,0.000,0.000,153.664,99.200
imageJ cluster import ERT depth -120 to -125 cm,2,15075.280,7537.640,75.833,0.350,301.663,112.726,232.000,9.000,160.568,50.200
imageJ cluster import ERT depth -125 to -130 cm,3,13881.760,4627.253,69.829,0.444,211.101,78.668,50.333,299.333,113.731,35.977
imageJ cluster import ERT depth -130 to -135 cm,5,11690.040,2338.008,58.804,0.545,324.638,50.799,304.200,244.600,98.795,23.070
imageJ cluster import ERT depth -135 to -140 cm,2,9728.800,4864.400,48.938,0.370,307.808,115.094,209.500,162.000,112.064,51.478
imageJ cluster import ERT depth -140 to -145 cm,2,8769.560,4384.780,44.113,0.352,310.895,115.884,85.000,7.000,127.487,52.498
imageJ cluster import ERT depth -145 to -150 cm,1,8461.560,8461.560,42.564,0.046,598.731,223.609,0.000,0.000,153.664,99.200
imageJ cluster import ERT depth -150 to -155 cm,1,8371.600,8371.600,42.111,0.059,598.731,223.609,0.000,0.000,153.664,99.200
imageJ cluster import ERT depth -155 to -160 cm,1,9524.120,9524.120,47.909,0.172,598.731,223.609,0.000,0.000,153.664,99.200
