Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import 0 days depth 0 to -5 cm,1,17889.080,17889.080,89.178,3.965,684.074,219.418,0.000,501.000,24.159,100.200
imageJ cluster import 0 days depth -5 to -10 cm,1,16931.080,16931.080,84.402,3.949,646.068,219.418,0.000,501.000,24.159,100.200
imageJ cluster import 0 days depth -10 to -15 cm,1,15808.280,15808.280,78.805,3.938,634.128,217.654,0.000,501.000,23.102,100.200
imageJ cluster import 0 days depth -15 to -20 cm,1,14833.920,14833.920,73.948,3.923,653.249,214.211,0.000,501.000,20.838,100.200
imageJ cluster import 0 days depth -20 to -25 cm,1,13381.880,13381.880,66.709,3.880,703.696,212.618,0.000,501.000,19.679,100.200
imageJ cluster import 0 days depth -25 to -30 cm,8,8867.680,1108.460,44.206,2.475,108.891,34.662,575.875,354.125,93.063,20.311
imageJ cluster import 0 days depth -30 to -35 cm,7,4884.360,697.766,24.349,2.516,110.146,33.282,369.429,383.143,116.101,15.721
imageJ cluster import 0 days depth -35 to -40 cm,1,468.880,468.880,2.337,3.036,163.048,46.208,937.000,501.000,73.918,13.800
imageJ cluster import 0 days depth -40 to -45 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -45 to -50 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -50 to -55 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -55 to -60 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -60 to -65 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -65 to -70 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -70 to -75 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -75 to -80 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -80 to -85 cm,3,138.000,46.000,0.688,2.346,26.228,9.626,296.667,478.333,112.750,5.700
imageJ cluster import 0 days depth -85 to -90 cm,1,578.800,578.800,2.885,3.420,110.401,39.602,231.000,478.000,179.421,21.400
imageJ cluster import 0 days depth -90 to -95 cm,1,1399.760,1399.760,6.978,3.576,177.978,54.613,192.000,501.000,35.611,44.400
imageJ cluster import 0 days depth -95 to -100 cm,1,2490.960,2490.960,12.418,3.668,242.977,71.604,311.000,187.000,118.713,61.273
imageJ cluster import 0 days depth -100 to -105 cm,2,4087.600,2043.800,20.377,2.897,155.164,48.731,624.000,59.000,131.022,39.185
imageJ cluster import 0 days depth -105 to -110 cm,2,4311.640,2155.820,21.494,3.007,162.313,54.406,624.000,50.500,115.280,38.969
imageJ cluster import 0 days depth -110 to -115 cm,2,4379.640,2189.820,21.833,3.141,168.457,57.992,635.500,36.000,110.574,39.268
imageJ cluster import 0 days depth -115 to -120 cm,2,4397.160,2198.580,21.920,3.292,161.804,54.157,612.500,47.500,129.371,41.556
imageJ cluster import 0 days depth -120 to -125 cm,2,4343.760,2171.880,21.654,3.131,161.052,54.981,624.000,47.500,114.490,40.053
imageJ cluster import 0 days depth -125 to -130 cm,2,4405.640,2202.820,21.962,3.135,160.804,54.981,624.000,47.500,114.490,39.544
imageJ cluster import 0 days depth -130 to -135 cm,2,4391.800,2195.900,21.893,3.128,164.422,54.981,624.000,47.500,114.490,39.192
imageJ cluster import 0 days depth -135 to -140 cm,2,4296.600,2148.300,21.419,2.908,151.887,50.904,624.000,47.500,129.835,38.665
imageJ cluster import 0 days depth -140 to -145 cm,2,4400.520,2200.260,21.937,3.097,162.436,54.981,624.000,47.500,114.490,41.305
imageJ cluster import 0 days depth -145 to -150 cm,3,4309.520,1436.507,21.483,2.617,107.020,35.825,741.667,49.000,118.389,27.284
imageJ cluster import 0 days depth -150 to -155 cm,2,4454.480,2227.240,22.206,3.128,164.802,56.924,624.000,36.000,113.776,40.542
imageJ cluster import 0 days depth -155 to -160 cm,2,4313.880,2156.940,21.505,3.110,172.633,53.780,631.000,37.500,117.317,39.158
