Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import 0 days depth 0 to -5 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -5 to -10 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -10 to -15 cm,1,224.480,224.480,1.119,1,64.979,20.751,52.000,181.000,116.318,16.405
imageJ cluster import 0 days depth -15 to -20 cm,1,795.240,795.240,3.964,1,138.932,40.553,0.000,182.000,145.448,29.966
imageJ cluster import 0 days depth -20 to -25 cm,1,1495.880,1495.880,7.457,1,163.978,52.759,0.000,137.000,136.075,38.000
imageJ cluster import 0 days depth -25 to -30 cm,1,2172.600,2172.600,10.830,1,193.163,64.347,0.000,91.000,121.269,49.400
imageJ cluster import 0 days depth -30 to -35 cm,1,2904.360,2904.360,14.478,1,227.321,72.864,29.000,66.000,121.989,55.400
imageJ cluster import 0 days depth -35 to -40 cm,2,6352.640,3176.320,31.668,1,295.209,84.928,311.500,266.000,86.728,54.139
imageJ cluster import 0 days depth -40 to -45 cm,3,14218.720,4739.573,70.881,1,257.853,80.659,295.000,218.333,74.762,57.636
imageJ cluster import 0 days depth -45 to -50 cm,1,18237.600,18237.600,90.915,1,617.211,211.390,0.000,455.000,25.498,100.200
imageJ cluster import 0 days depth -50 to -55 cm,1,18068.920,18068.920,90.074,1,618.225,207.725,0.000,455.000,20.634,100.200
imageJ cluster import 0 days depth -55 to -60 cm,1,17426.000,17426.000,86.869,1,592.585,203.295,0.000,0.000,150.535,100.200
imageJ cluster import 0 days depth -60 to -65 cm,1,16506.881,16506.881,82.287,1,584.490,201.073,0.000,23.000,151.676,100.200
imageJ cluster import 0 days depth -65 to -70 cm,1,14902.840,14902.840,74.291,1,620.241,198.931,0.000,46.000,152.842,100.200
imageJ cluster import 0 days depth -70 to -75 cm,1,12982.760,12982.760,64.720,1,648.280,191.163,15.000,57.000,152.523,100.200
imageJ cluster import 0 days depth -75 to -80 cm,2,9822.560,4911.280,48.966,1,304.693,94.856,236.000,250.500,98.895,70.947
imageJ cluster import 0 days depth -80 to -85 cm,2,7654.120,3827.060,38.156,1,278.513,83.930,282.000,227.500,98.169,58.713
imageJ cluster import 0 days depth -85 to -90 cm,3,3249.800,1083.267,16.200,1,153.566,42.209,441.667,257.000,141.199,26.553
imageJ cluster import 0 days depth -90 to -95 cm,1,204.240,204.240,1.018,1,113.521,32.556,696.000,389.000,81.521,17.180
imageJ cluster import 0 days depth -95 to -100 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -100 to -105 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -105 to -110 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -110 to -115 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -115 to -120 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -120 to -125 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -125 to -130 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -130 to -135 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -135 to -140 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -140 to -145 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -145 to -150 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -150 to -155 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 0 days depth -155 to -160 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
