Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import 0 days depth 0 to -5 cm,3,2166.680,722.227,10.801,0.251,102.961,34.004,335.000,124.667,132.174,16.032
imageJ cluster import 0 days depth -5 to -10 cm,2,3127.840,1563.920,15.592,0.046,160.693,60.713,416.000,0.000,138.301,29.100
imageJ cluster import 0 days depth -10 to -15 cm,2,4026.440,2013.220,20.072,0.056,186.864,68.909,392.500,0.000,138.132,33.700
imageJ cluster import 0 days depth -15 to -20 cm,2,4428.880,2214.440,22.078,0.069,284.466,79.137,358.000,0.000,138.647,41.900
imageJ cluster import 0 days depth -20 to -25 cm,10,5177.920,517.792,25.812,0.507,68.698,19.840,629.600,365.400,99.066,11.170
imageJ cluster import 0 days depth -25 to -30 cm,7,9010.240,1287.177,44.916,0.481,126.852,36.165,481.857,333.000,98.902,22.909
imageJ cluster import 0 days depth -30 to -35 cm,4,12258.160,3064.540,61.107,0.334,258.855,69.187,335.500,368.000,102.151,45.810
imageJ cluster import 0 days depth -35 to -40 cm,2,13218.840,6609.420,65.896,0.378,528.664,118.215,308.500,405.500,28.619,54.349
imageJ cluster import 0 days depth -40 to -45 cm,2,5820.520,2910.260,29.015,0.220,411.224,128.813,430.500,501.000,57.555,60.684
imageJ cluster import 0 days depth -45 to -50 cm,3,1818.000,606.000,9.063,0.372,174.381,71.592,411.333,318.667,143.306,13.621
imageJ cluster import 0 days depth -50 to -55 cm,2,1988.320,994.160,9.912,0.275,248.254,95.887,442.000,227.500,138.602,18.294
imageJ cluster import 0 days depth -55 to -60 cm,2,2631.160,1315.580,13.116,0.196,245.000,96.458,430.500,227.500,139.836,22.890
imageJ cluster import 0 days depth -60 to -65 cm,4,3549.480,887.370,17.694,0.352,157.405,63.273,268.000,114.000,121.977,18.526
imageJ cluster import 0 days depth -65 to -70 cm,4,5152.400,1288.100,25.685,0.253,196.672,75.988,233.000,120.250,77.298,26.510
imageJ cluster import 0 days depth -70 to -75 cm,3,7072.760,2357.587,35.258,0.155,311.670,112.904,232.667,167.000,100.258,43.359
imageJ cluster import 0 days depth -75 to -80 cm,1,10234.040,10234.040,51.017,0.102,979.317,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 0 days depth -80 to -85 cm,1,12261.120,12261.120,61.122,0.082,988.906,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 0 days depth -85 to -90 cm,2,16224.520,8112.260,80.880,0.335,386.551,117.038,37.500,125.000,107.670,53.900
imageJ cluster import 0 days depth -90 to -95 cm,1,18455.760,18455.760,92.003,0.019,680.544,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 0 days depth -95 to -100 cm,1,17568.520,17568.520,87.580,0.006,717.825,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 0 days depth -100 to -105 cm,1,15970.760,15970.760,79.615,0.008,752.893,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 0 days depth -105 to -110 cm,1,15747.240,15747.240,78.501,0.008,749.074,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 0 days depth -110 to -115 cm,1,15679.560,15679.560,78.163,0.008,742.513,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 0 days depth -115 to -120 cm,1,15661.760,15661.760,78.074,0.008,738.291,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 0 days depth -120 to -125 cm,1,15715.360,15715.360,78.342,0.008,736.788,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 0 days depth -125 to -130 cm,1,15653.120,15653.120,78.031,0.008,736.525,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 0 days depth -130 to -135 cm,1,15667.280,15667.280,78.102,0.008,743.810,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 0 days depth -135 to -140 cm,1,15762.640,15762.640,78.577,0.008,736.905,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 0 days depth -140 to -145 cm,1,15658.320,15658.320,78.057,0.008,739.390,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 0 days depth -145 to -150 cm,1,15749.560,15749.560,78.512,0.008,740.590,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 0 days depth -150 to -155 cm,1,15604.720,15604.720,77.790,0.008,744.404,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 0 days depth -155 to -160 cm,1,15739.360,15739.360,78.461,0.006,769.528,223.875,0.000,0.000,153.412,100.200
