Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import 3.33 days depth 0 to -5 cm,1,9451.840,9451.840,47.118,3.875,457.998,144.251,285.000,0.000,145.164,96.979
imageJ cluster import 3.33 days depth -5 to -10 cm,1,7917.120,7917.120,39.467,3.811,370.596,131.649,306.000,5.000,142.469,87.965
imageJ cluster import 3.33 days depth -10 to -15 cm,1,5486.680,5486.680,27.351,3.769,311.529,104.950,328.000,7.000,141.033,73.632
imageJ cluster import 3.33 days depth -15 to -20 cm,1,3803.480,3803.480,18.960,3.676,283.674,88.254,375.000,6.000,120.808,60.741
imageJ cluster import 3.33 days depth -20 to -25 cm,1,1899.080,1899.080,9.467,3.517,213.669,61.134,403.000,72.000,124.470,45.504
imageJ cluster import 3.33 days depth -25 to -30 cm,6,236.720,39.453,1.180,2.135,25.826,10.073,452.500,212.167,78.195,5.256
imageJ cluster import 3.33 days depth -30 to -35 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -35 to -40 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -40 to -45 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -45 to -50 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -50 to -55 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -55 to -60 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -60 to -65 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -65 to -70 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -70 to -75 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -75 to -80 cm,3,230.720,76.907,1.150,2.317,51.573,16.176,727.333,333.333,127.250,6.162
imageJ cluster import 3.33 days depth -80 to -85 cm,3,817.640,272.547,4.076,2.987,74.137,28.019,708.333,326.333,118.196,11.045
imageJ cluster import 3.33 days depth -85 to -90 cm,3,2106.880,702.293,10.503,3.392,119.166,43.933,681.000,334.000,62.188,21.124
imageJ cluster import 3.33 days depth -90 to -95 cm,3,3806.040,1268.680,18.973,3.115,187.124,65.746,421.000,173.667,105.692,30.424
imageJ cluster import 3.33 days depth -95 to -100 cm,2,6572.800,3286.400,32.766,3.636,346.995,116.136,505.000,3.000,117.304,61.599
imageJ cluster import 3.33 days depth -100 to -105 cm,2,9055.520,4527.760,45.142,3.745,369.102,128.852,422.000,0.000,123.244,65.693
imageJ cluster import 3.33 days depth -105 to -110 cm,3,9340.080,3113.360,46.561,3.192,252.822,88.712,281.333,161.333,128.042,44.860
imageJ cluster import 3.33 days depth -110 to -115 cm,2,9362.360,4681.180,46.672,3.767,377.369,130.592,422.000,0.000,123.745,65.679
imageJ cluster import 3.33 days depth -115 to -120 cm,2,9360.040,4680.020,46.660,3.770,370.721,130.605,422.000,0.000,123.797,65.693
imageJ cluster import 3.33 days depth -120 to -125 cm,2,9396.080,4698.040,46.840,3.766,374.565,130.592,422.000,0.000,123.745,65.679
imageJ cluster import 3.33 days depth -125 to -130 cm,2,9333.640,4666.820,46.529,3.754,376.915,130.592,422.000,0.000,123.745,65.679
imageJ cluster import 3.33 days depth -130 to -135 cm,2,9266.880,4633.440,46.196,3.760,371.161,130.592,422.000,0.000,123.745,65.679
imageJ cluster import 3.33 days depth -135 to -140 cm,2,9303.040,4651.520,46.376,3.771,370.492,130.592,422.000,0.000,123.745,65.679
imageJ cluster import 3.33 days depth -140 to -145 cm,2,9301.840,4650.920,46.370,3.760,370.686,130.592,422.000,0.000,123.745,65.693
imageJ cluster import 3.33 days depth -145 to -150 cm,2,9376.000,4688.000,46.740,3.763,378.311,130.592,422.000,0.000,123.745,65.679
imageJ cluster import 3.33 days depth -150 to -155 cm,2,9415.120,4707.560,46.935,3.757,381.561,131.359,410.000,0.000,124.977,67.913
imageJ cluster import 3.33 days depth -155 to -160 cm,2,9257.840,4628.920,46.151,3.801,393.278,130.618,422.000,0.000,123.849,65.666
