Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import 3.33 days depth 0 to -5 cm,2,1760.520,880.260,8.776,1,117.057,40.364,458.500,28.500,76.995,21.300
imageJ cluster import 3.33 days depth -5 to -10 cm,2,2365.280,1182.640,11.791,1,124.913,48.480,453.500,0.000,144.748,21.000
imageJ cluster import 3.33 days depth -10 to -15 cm,2,3352.440,1676.220,16.712,1,177.257,60.363,407.000,0.000,139.986,30.300
imageJ cluster import 3.33 days depth -15 to -20 cm,2,3967.920,1983.960,19.780,1,188.737,68.670,384.000,0.000,147.256,32.600
imageJ cluster import 3.33 days depth -20 to -25 cm,2,4976.680,2488.340,24.809,1,205.913,71.900,372.500,0.000,139.089,43.300
imageJ cluster import 3.33 days depth -25 to -30 cm,3,6741.200,2247.067,33.605,1,195.473,62.052,464.000,242.333,71.378,43.619
imageJ cluster import 3.33 days depth -30 to -35 cm,2,9217.680,4608.840,45.950,1,324.796,107.163,279.500,250.500,90.537,59.610
imageJ cluster import 3.33 days depth -35 to -40 cm,2,11722.600,5861.300,58.438,1,341.246,112.327,256.000,250.500,88.898,73.380
imageJ cluster import 3.33 days depth -40 to -45 cm,1,13782.720,13782.720,68.707,1,738.921,199.231,0.000,0.000,149.806,100.200
imageJ cluster import 3.33 days depth -45 to -50 cm,1,16025.280,16025.280,79.887,1,620.401,199.348,0.000,0.000,151.146,100.200
imageJ cluster import 3.33 days depth -50 to -55 cm,1,16700.439,16700.439,83.252,1,593.899,203.295,0.000,0.000,150.535,100.200
imageJ cluster import 3.33 days depth -55 to -60 cm,1,15697.280,15697.280,78.251,1,590.309,200.360,0.000,23.000,152.923,100.200
imageJ cluster import 3.33 days depth -60 to -65 cm,1,14166.520,14166.520,70.621,1,593.159,192.663,0.000,69.000,153.754,100.200
imageJ cluster import 3.33 days depth -65 to -70 cm,2,10646.400,5323.200,53.073,1,322.142,97.973,262.000,204.500,76.827,80.195
imageJ cluster import 3.33 days depth -70 to -75 cm,2,7531.960,3765.980,37.547,1,253.134,81.743,275.000,232.500,92.649,60.765
imageJ cluster import 3.33 days depth -75 to -80 cm,2,4832.680,2416.340,24.091,1,224.501,66.034,328.000,216.500,84.944,48.996
imageJ cluster import 3.33 days depth -80 to -85 cm,2,2306.280,1153.140,11.497,1,139.712,44.449,309.500,210.500,71.177,31.538
imageJ cluster import 3.33 days depth -85 to -90 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -90 to -95 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -95 to -100 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -100 to -105 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -105 to -110 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -110 to -115 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -115 to -120 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -120 to -125 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -125 to -130 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -130 to -135 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -135 to -140 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -140 to -145 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -145 to -150 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -150 to -155 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 3.33 days depth -155 to -160 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
