Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import 3.33 days depth 0 to -5 cm,2,8834.560,4417.280,44.041,0.048,475.095,137.638,276.500,0.000,133.229,88.537
imageJ cluster import 3.33 days depth -5 to -10 cm,1,9766.040,9766.040,48.684,0.053,940.490,223.875,0.000,501.000,26.588,100.200
imageJ cluster import 3.33 days depth -10 to -15 cm,1,11217.480,11217.480,55.920,0.057,960.090,223.875,0.000,501.000,26.588,100.200
imageJ cluster import 3.33 days depth -15 to -20 cm,2,12284.280,6142.140,61.238,0.310,342.844,112.654,307.500,409.500,46.672,50.400
imageJ cluster import 3.33 days depth -20 to -25 cm,2,13176.920,6588.460,65.687,0.347,356.245,112.719,249.000,402.500,83.391,50.600
imageJ cluster import 3.33 days depth -25 to -30 cm,1,13069.240,13069.240,65.151,0.087,828.185,223.875,0.000,501.000,26.588,100.200
imageJ cluster import 3.33 days depth -30 to -35 cm,2,10830.840,5415.420,53.992,0.098,422.020,138.384,395.500,501.000,51.921,70.944
imageJ cluster import 3.33 days depth -35 to -40 cm,2,8324.600,4162.300,41.498,0.123,396.588,133.021,419.000,501.000,55.280,65.735
imageJ cluster import 3.33 days depth -40 to -45 cm,3,6262.840,2087.613,31.220,0.178,271.139,95.371,364.667,144.333,137.014,40.400
imageJ cluster import 3.33 days depth -45 to -50 cm,3,4031.760,1343.920,20.098,0.187,215.789,83.010,372.667,145.000,92.581,25.800
imageJ cluster import 3.33 days depth -50 to -55 cm,3,3356.720,1118.907,16.733,0.231,194.500,78.343,380.333,144.333,152.224,19.933
imageJ cluster import 3.33 days depth -55 to -60 cm,4,4358.960,1089.740,21.730,0.290,172.972,68.331,256.000,114.000,120.698,21.956
imageJ cluster import 3.33 days depth -60 to -65 cm,3,5888.960,1962.987,29.357,0.167,283.791,110.373,240.667,159.333,98.661,35.954
imageJ cluster import 3.33 days depth -65 to -70 cm,1,9410.600,9410.600,46.912,0.123,1014.332,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 3.33 days depth -70 to -75 cm,1,12525.560,12525.560,62.440,0.072,940.786,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 3.33 days depth -75 to -80 cm,2,14989.640,7494.820,74.724,0.362,511.902,114.908,273.500,380.500,66.374,51.600
imageJ cluster import 3.33 days depth -80 to -85 cm,3,16932.200,5644.067,84.408,0.459,224.712,76.356,335.333,229.667,122.652,35.267
imageJ cluster import 3.33 days depth -85 to -90 cm,1,17950.039,17950.039,89.482,0.006,667.899,218.897,0.000,0.000,154.395,100.200
imageJ cluster import 3.33 days depth -90 to -95 cm,1,16248.560,16248.560,81.000,0.011,717.023,216.573,0.000,0.000,152.441,100.200
imageJ cluster import 3.33 days depth -95 to -100 cm,2,13482.160,6741.080,67.209,0.019,377.409,129.485,183.500,250.500,103.941,74.300
imageJ cluster import 3.33 days depth -100 to -105 cm,2,11000.840,5500.420,54.840,0.023,329.561,119.371,206.500,9.000,115.602,66.141
imageJ cluster import 3.33 days depth -105 to -110 cm,2,10716.160,5358.080,53.420,0.024,319.151,117.707,227.500,250.500,109.170,62.826
imageJ cluster import 3.33 days depth -110 to -115 cm,2,10695.240,5347.620,53.316,0.024,310.086,116.947,224.000,244.500,107.075,62.168
imageJ cluster import 3.33 days depth -115 to -120 cm,2,10696.880,5348.440,53.324,0.023,312.838,118.763,218.500,250.500,105.309,61.535
imageJ cluster import 3.33 days depth -120 to -125 cm,2,10661.360,5330.680,53.147,0.024,311.682,117.581,218.500,250.500,109.341,62.565
imageJ cluster import 3.33 days depth -125 to -130 cm,2,10723.760,5361.880,53.458,0.024,318.656,118.265,218.500,250.500,106.729,62.515
imageJ cluster import 3.33 days depth -130 to -135 cm,2,10790.480,5395.240,53.791,0.023,318.361,119.905,206.500,250.500,107.548,62.088
imageJ cluster import 3.33 days depth -135 to -140 cm,2,10754.640,5377.320,53.612,0.023,312.741,117.941,218.500,250.500,107.943,62.404
imageJ cluster import 3.33 days depth -140 to -145 cm,2,10755.920,5377.960,53.619,0.023,312.804,117.598,218.500,250.500,109.223,62.106
imageJ cluster import 3.33 days depth -145 to -150 cm,2,10682.000,5341.000,53.250,0.024,311.086,116.660,226.000,244.500,108.810,62.211
imageJ cluster import 3.33 days depth -150 to -155 cm,2,10640.360,5320.180,53.043,0.024,314.420,118.114,218.500,250.500,108.074,61.781
imageJ cluster import 3.33 days depth -155 to -160 cm,2,10788.280,5394.140,53.780,0.018,334.970,118.062,206.500,259.500,110.274,63.072
