Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import 144 days depth 0 to -5 cm,1,5134.400,5134.400,25.595,3.778,364.410,99.265,329.000,95.000,148.680,70.650
imageJ cluster import 144 days depth -5 to -10 cm,1,3849.480,3849.480,19.190,3.695,257.172,87.545,334.000,95.000,149.979,60.528
imageJ cluster import 144 days depth -10 to -15 cm,2,2316.040,1158.020,11.546,2.810,111.998,36.205,454.500,129.000,93.595,26.958
imageJ cluster import 144 days depth -15 to -20 cm,2,1095.160,547.580,5.459,2.731,84.448,26.980,386.500,154.000,84.969,20.880
imageJ cluster import 144 days depth -20 to -25 cm,3,301.520,100.507,1.503,2.225,46.947,13.720,446.667,193.000,93.249,9.231
imageJ cluster import 144 days depth -25 to -30 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -30 to -35 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -35 to -40 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -40 to -45 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -45 to -50 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -50 to -55 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -55 to -60 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -60 to -65 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -65 to -70 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -70 to -75 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -75 to -80 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -80 to -85 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -85 to -90 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -90 to -95 cm,1,119.880,119.880,0.598,2.377,49.334,20.204,277.000,478.000,178.866,6.400
imageJ cluster import 144 days depth -95 to -100 cm,1,1490.920,1490.920,7.432,3.513,195.412,57.206,187.000,481.000,0.801,44.400
imageJ cluster import 144 days depth -100 to -105 cm,4,4177.160,1044.290,20.823,2.520,97.566,29.844,633.250,148.500,110.552,23.866
imageJ cluster import 144 days depth -105 to -110 cm,3,7848.240,2616.080,39.124,3.063,275.621,80.228,344.667,7.667,92.150,42.696
imageJ cluster import 144 days depth -110 to -115 cm,2,11078.240,5539.120,55.225,3.815,392.143,133.962,398.500,0.000,126.653,70.174
imageJ cluster import 144 days depth -115 to -120 cm,2,12336.800,6168.400,61.499,3.837,402.688,136.753,387.000,0.000,128.290,72.452
imageJ cluster import 144 days depth -120 to -125 cm,2,12742.240,6371.120,63.521,3.848,404.935,140.683,363.500,0.000,130.923,76.512
imageJ cluster import 144 days depth -125 to -130 cm,2,12909.960,6454.980,64.357,3.843,417.275,140.683,363.500,0.000,130.923,76.802
imageJ cluster import 144 days depth -130 to -135 cm,2,13071.561,6535.780,65.162,3.855,412.681,140.683,363.500,0.000,130.923,76.802
imageJ cluster import 144 days depth -135 to -140 cm,2,13103.159,6551.580,65.320,3.847,415.472,140.683,363.500,0.000,130.923,76.802
imageJ cluster import 144 days depth -140 to -145 cm,2,13079.480,6539.740,65.202,3.851,408.392,139.571,375.500,0.000,129.845,74.516
imageJ cluster import 144 days depth -145 to -150 cm,2,13052.040,6526.020,65.065,3.845,418.008,140.683,363.500,0.000,130.923,76.802
imageJ cluster import 144 days depth -150 to -155 cm,2,13008.800,6504.400,64.849,3.845,412.648,140.683,363.500,0.000,130.923,76.802
imageJ cluster import 144 days depth -155 to -160 cm,2,13039.760,6519.880,65.004,3.870,436.722,140.683,363.500,0.000,130.923,76.802
