Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import 144 days depth 0 to -5 cm,2,1789.000,894.500,8.918,1,119.870,44.013,453.500,11.500,136.200,21.300
imageJ cluster import 144 days depth -5 to -10 cm,1,2251.520,2251.520,11.224,1,211.963,80.460,0.000,23.000,114.526,38.000
imageJ cluster import 144 days depth -10 to -15 cm,2,2867.320,1433.660,14.294,1,145.751,55.244,419.000,0.000,144.386,25.700
imageJ cluster import 144 days depth -15 to -20 cm,2,3507.320,1753.660,17.484,1,173.365,58.655,407.000,0.000,137.006,30.300
imageJ cluster import 144 days depth -20 to -25 cm,2,4317.960,2158.980,21.525,1,192.329,65.371,382.500,45.000,65.834,41.000
imageJ cluster import 144 days depth -25 to -30 cm,2,5179.440,2589.720,25.820,1,248.599,72.235,336.500,68.000,60.785,48.459
imageJ cluster import 144 days depth -30 to -35 cm,3,6635.960,2211.987,33.080,1,206.530,65.087,465.333,257.333,75.704,35.243
imageJ cluster import 144 days depth -35 to -40 cm,2,9171.440,4585.720,45.720,1,327.639,99.956,291.500,250.500,90.260,64.973
imageJ cluster import 144 days depth -40 to -45 cm,3,11870.200,3956.733,59.173,1,230.889,73.196,314.333,283.000,77.656,53.001
imageJ cluster import 144 days depth -45 to -50 cm,1,14351.040,14351.040,71.540,1,679.259,199.155,0.000,0.000,151.247,100.200
imageJ cluster import 144 days depth -50 to -55 cm,1,15933.240,15933.240,79.428,1,592.377,196.957,0.000,23.000,150.962,100.200
imageJ cluster import 144 days depth -55 to -60 cm,1,16066.400,16066.400,80.092,1,593.355,201.073,0.000,23.000,151.676,100.200
imageJ cluster import 144 days depth -60 to -65 cm,1,15463.400,15463.400,77.086,1,601.477,198.931,0.000,46.000,152.842,100.200
imageJ cluster import 144 days depth -65 to -70 cm,1,14107.400,14107.400,70.326,1,611.135,193.190,0.000,69.000,159.201,100.200
imageJ cluster import 144 days depth -70 to -75 cm,1,11317.480,11317.480,56.418,1,655.516,190.966,0.000,91.000,155.958,100.000
imageJ cluster import 144 days depth -75 to -80 cm,2,7489.280,3744.640,37.334,1,274.547,82.557,256.000,226.500,88.783,61.526
imageJ cluster import 144 days depth -80 to -85 cm,2,3426.760,1713.380,17.083,1,192.024,57.208,293.500,227.500,95.978,41.345
imageJ cluster import 144 days depth -85 to -90 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -90 to -95 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -95 to -100 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -100 to -105 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -105 to -110 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -110 to -115 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -115 to -120 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -120 to -125 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -125 to -130 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -130 to -135 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -135 to -140 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -140 to -145 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -145 to -150 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -150 to -155 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import 144 days depth -155 to -160 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
