Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import 144 days depth 0 to -5 cm,2,13121.520,6560.760,65.411,0.343,353.825,112.832,331.000,184.000,134.989,50.700
imageJ cluster import 144 days depth -5 to -10 cm,1,13955.280,13955.280,69.568,0.033,685.025,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 144 days depth -10 to -15 cm,1,14873.560,14873.560,74.145,0.035,671.502,223.875,0.000,501.000,26.588,100.200
imageJ cluster import 144 days depth -15 to -20 cm,1,15453.160,15453.160,77.035,0.035,689.648,223.875,0.000,501.000,26.588,100.200
imageJ cluster import 144 days depth -20 to -25 cm,1,15433.080,15433.080,76.934,0.041,727.859,223.875,0.000,501.000,26.588,100.200
imageJ cluster import 144 days depth -25 to -30 cm,1,14876.320,14876.320,74.159,0.050,831.763,223.875,0.000,501.000,26.588,100.200
imageJ cluster import 144 days depth -30 to -35 cm,3,13410.360,4470.120,66.851,0.460,332.304,79.924,240.333,341.333,45.008,36.161
imageJ cluster import 144 days depth -35 to -40 cm,2,10874.000,5437.000,54.207,0.370,476.946,115.190,0.000,262.000,35.794,51.797
imageJ cluster import 144 days depth -40 to -45 cm,2,8176.040,4088.020,40.758,0.134,432.647,136.470,395.500,250.500,75.161,71.081
imageJ cluster import 144 days depth -45 to -50 cm,4,5701.440,1425.360,28.422,0.276,197.244,73.877,353.000,153.250,151.690,28.243
imageJ cluster import 144 days depth -50 to -55 cm,4,4124.040,1031.010,20.558,0.302,164.077,64.633,268.000,114.500,81.986,20.168
imageJ cluster import 144 days depth -55 to -60 cm,4,3990.160,997.540,19.891,0.305,169.134,67.263,256.000,114.000,122.669,20.732
imageJ cluster import 144 days depth -60 to -65 cm,4,4591.920,1147.980,22.891,0.268,184.852,72.600,238.750,120.250,78.431,24.783
imageJ cluster import 144 days depth -65 to -70 cm,3,5946.840,1982.280,29.645,0.175,283.650,107.331,240.667,159.333,98.867,37.487
imageJ cluster import 144 days depth -70 to -75 cm,3,8737.920,2912.640,43.559,0.129,335.494,122.218,217.333,167.000,101.185,53.318
imageJ cluster import 144 days depth -75 to -80 cm,1,12567.160,12567.160,62.648,0.078,960.238,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 144 days depth -80 to -85 cm,2,16629.640,8314.820,82.899,0.350,370.027,115.120,302.000,102.500,144.843,52.300
imageJ cluster import 144 days depth -85 to -90 cm,1,20060.039,20060.039,100.000,0.000,600.331,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 144 days depth -90 to -95 cm,1,19939.961,19939.961,99.401,0.001,600.331,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 144 days depth -95 to -100 cm,1,18568.439,18568.439,92.564,0.005,716.709,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 144 days depth -100 to -105 cm,1,15877.560,15877.560,79.150,0.011,775.377,223.875,0.000,0.000,153.412,100.200
imageJ cluster import 144 days depth -105 to -110 cm,4,12208.440,3052.110,60.859,0.342,218.264,65.914,261.250,184.500,124.955,36.600
imageJ cluster import 144 days depth -110 to -115 cm,2,8980.120,4490.060,44.766,0.027,287.860,107.576,233.500,33.500,111.140,55.512
imageJ cluster import 144 days depth -115 to -120 cm,2,7721.720,3860.860,38.493,0.031,270.664,99.947,244.000,45.500,109.690,49.578
imageJ cluster import 144 days depth -120 to -125 cm,2,7316.440,3658.220,36.473,0.031,258.828,98.411,260.000,37.000,109.529,47.236
imageJ cluster import 144 days depth -125 to -130 cm,2,7147.920,3573.960,35.633,0.033,262.109,97.069,253.000,219.000,102.602,47.286
imageJ cluster import 144 days depth -130 to -135 cm,2,6986.840,3493.420,34.830,0.032,257.339,95.702,248.500,227.500,101.722,46.292
imageJ cluster import 144 days depth -135 to -140 cm,2,6955.040,3477.520,34.671,0.033,260.072,96.225,249.500,227.500,103.398,47.224
imageJ cluster import 144 days depth -140 to -145 cm,2,6978.800,3489.400,34.790,0.033,267.050,98.194,258.500,223.000,104.578,46.575
imageJ cluster import 144 days depth -145 to -150 cm,2,7006.600,3503.300,34.928,0.034,262.901,97.123,258.500,223.000,105.239,46.566
imageJ cluster import 144 days depth -150 to -155 cm,2,7048.560,3524.280,35.137,0.032,262.024,97.041,262.000,223.000,102.412,47.076
imageJ cluster import 144 days depth -155 to -160 cm,2,7008.520,3504.260,34.938,0.024,276.839,94.599,265.000,219.000,102.115,46.683
