th_s.difference id
0.0976589178132383 core 1
0.0186908634898107 core 2
-0.0636613595103386 core 3
-0.0514951650640296 core 4
0.115020633457803 core 5
-0.0436059982619211 core 6
-0.0463841223902055 core 7
0.110001124518079 core 8
-0.0281082352094033 core 9
0.148070480020594 core 10
-0.0268245897683479 core 11
0.102204825623086 core 12
0.115651623592109 core 13
0.0548982436631516 core 14
0.0330111480326812 core 15
0.0520454903534245 core 16
0.0725319389097961 core 17
0.0220999624063518 core 18
0.0606127076246696 core 19
0.0402026467796149 core 20
0.0741791058334311 core 21
-0.0956602571995584 core 22
0.0734825584712359 core 23
0.0441542571386438 core 24
-0.00568018517224483 core 25
0.0335259063091963 core 26
-0.0399978846029573 core 27
-0.0197698553303267 core 28
-0.0456623341680101 core 29
-0.0243547680098288 core 30
-0.0442487042249292 core 31
0.0654270885329117 core 32
-0.0486213170798407 core 33
0.0305376957116598 core 34
-0.075105566038296 core 35
-0.09238919585501 core 36
-0.0641832636536767 core 37
0.122925997170775 core 38
